"1 Daily Deal","http://www.1dailydeal.com/","Out of service","?","N",,"N",,
"1 Day Sports","http://www.1daysports.com/","Done","Outdoors / Sports","N",,"N",,
"1 Sale A Day","https://1saleaday.com/","Done","?","Y","http://feeds.feedburner.com/1saleaday","N",,
"1 Sale A Day Family","https://1saleaday.com/family","Done","?","Y","http://feeds.feedburner.com/1saleaday","N",,
"1 Sale A Day Jewelry","https://1saleaday.com/jewelry","Done","Clothing / Jewelry","Y","http://feeds.feedburner.com/1saleaday","N",,
"1 Sale A Day Watch","https://1saleaday.com/watch","Done","Clothing / Jewelry","Y","http://feeds.feedburner.com/1saleaday","N",,
"1 Sale A Day Wireless","https://1saleaday.com/wireless","Done","Electronics / Computers","Y","http://feeds.feedburner.com/1saleaday","N",,
"13 Deals","http://www.13deals.com/","Done","?","N",,"N",,"Multiple deals - see site"
"13 Deals Pets","http://pets.13deals.com/","Done","Household","N",,"N",,"Multiple deals - see site"
"2 Daily Deals","http://www.2dailydeals.com/","Done",,"Y","http://www.2dailydeals.com/todaydeal.php","N",,
"2Days Bargain","http://www.2daysbargain.com/","Done","Electronics / Computers","Y","http://www.2daysbargain.com/resources/rss.php","N",,
"4imprint","http://promotions.4imprint.com/dealoftheday/","Done","?","Y","http://feeds.feedburner.com/TryPromotionalProducts?format=xml","N",,
"5 Star Deal","http://www.5stardeal.com/","Done","?","Y","http://feeds.feedburner.com/5StarDeal?format=xml","N",,
"6th Ave Electronics","http://www.6ave.com/shop/SickDealProduct.aspx","Done","Electronics / Computers","Y","http://feeds2.feedburner.com/SickDeal","N",,
"800-Ski-Shop","http://www.800-ski-shop.com/","Daily Item Not found","Outdoors / Sports","N",,"Y","Avantlink",
"98 Main","http://www.98main.com/","Cannot open with PHP","Outdoors / Sports","Y","http://feeds.feedburner.com/98main/dealfeed?format=xml","N",,
"A Side of Peaches","http://www.asideofpeaches.com/","Done","?","Y","http://www.asideofpeaches.com/index.php?main_page=rss_feed&feed=specials","N",,
"A Steal A Day","http://www.astealaday.com","Under construction","?","N",,"N",,
"A Watch For You","http://awatchforyou.com/","Done","Clothing / Jewelry","N",,"N",,
"Abazias","http://www.abazias.com/dealoftheday.asp","Error parsing","Clothing / Jewelry","N",,"Y","http://www.abazias.com/affiliates/affiliates.asp",
"Abt","http://www.abt.com/","Redirect","Electronics / Computers","N",,"Y","http://www.abt.com/abtAffil.php3",
"Airguns Daily","http://www.airgunsdaily.com/","Done","Outdoors / Sports","N",,"N",,
"Alfred E Bike","http://aebike.com/","Done","Outdoors / Sports","Y","http://feeds.feedburner.com/aebike_dailydeal?format=xml","N",,
"allheart","http://www.allheart.com/","Done","Clothing / Jewelry","Y","http://blog.allheart.com/feed/","N",,
"Alpaca Direct","http://www.alpacadirect.com/results~Sweaters~Clearance~category~26~secondary~2.htm","Daily Item Not found","Clothing / Jewelry","N",,"Y","http://www.alpacadirect.com/show~page~affiliates.htm",
"AlphaShark","http://www.alphashark.com/","Done","?","Y","http://feeds.feedburner.com/AlphaShark-DailyDealRssFeed?format=xml","Y",,
"Altrec","http://www.altrec.com/dealoftheday/signup/static.htm","Done","Outdoors / Sports","N",,"Y","http://www.altrec.com/affiliates/avantlink/static.htm",
